Name,RAT,POS,VER,Price,SKI,WF,WR,PAC,SHO,PAS,DRI,DEF,PHY,Body,Popularity,BS,IGS
Ronald Koeman,88,CB  CDM,Icon  Controlled,70.5K,3,3,H \ M,77,86,86,79,87,83,"181cm | 5'11""  Average (80kg)",387,498,2443
Roy Keane,88,CM,Icon  Lengthy,83K,2,3,M \ H,74,72,84,78,85,88,"180cm | 5'11""  Average (76kg)",750,481,2304
Rui Manuel César Costa,88,CAM,Icon  Controlled,68.5K,4,4,M \ L,82,80,87,86,47,76,"180cm | 5'11""  Average (74kg)",76,458,2223
Xavier Hernández,88,CM  CDM,Icon  Explosive,0,4,3,H \ H,81,75,89,88,63,64,"170cm | 5'7""  Short & Lean- (67kg)",587,460,2231
Wayne Rooney,88,"CF  CAM,ST",Icon  Controlled,83.5K,3,4,H \ H,90,90,81,87,50,86,"176cm | 5'9""  Stocky (81kg)",2277,484,2320
Al-Owairan,88,"CAM  RM,RW,ST",World Cup Hero  Controlled,0,4,4,H \ M,99,86,83,92,38,76,"184cm | 6'0""  Lean (76kg)",10352,474,2265
Landon Donovan,88,"RM  CAM,CF,ST",World Cup Hero  Explosive,0,4,4,M \ M,92,90,83,87,48,73,"173cm | 5'8""  Average (73kg)",1605,473,2271
Włodzimierz Smolarek,88,"ST  CF,LW",World Cup Hero  Controlled,20K,3,4,H \ M,94,90,82,92,43,85,"171cm | 5'7""  Stocky (70kg)",4606,486,2334
Claudio Marchisio,88,"CM  CDM,LM",World Cup Hero  Controlled,0,4,4,H \ H,83,84,86,87,81,83,"180cm | 5'11""  Lean (74kg)",1633,504,2415
Capdevila,88,LB  LWB,World Cup Hero  Controlled,31.25K,4,3,H \ M,90,78,83,82,87,82,"182cm | 6'0""  Average (79kg)",4380,502,2404
Hidetoshi Nakata,88,CAM  CM,World Cup Hero  Controlled,25.5K,4,4,M \ M,87,86,86,87,63,67,"175cm | 5'9""  Lean (72kg)",1409,476,2330
Harry Kewell,88,"CF  LM,CAM,LW",World Cup Hero  Explosive,0,4,4,M \ M,91,87,89,89,53,71,"180cm | 5'11""  Average (74kg)",2135,480,2308
Dirk Kuyt,88,"RM  CM,CAM",World Cup Hero  Controlled,30K,4,3,H \ H,87,90,84,86,72,84,"183cm | 6'0""  Average (84kg)",3183,503,2397
Jairzinho,88,"RW  RM,ST",Icon  Controlled,0,5,4,H \ M,91,88,84,90,47,74,"173cm | 5'8""  Average (74kg)",947,474,2277
Erling Haaland,88,ST  CF,Normal  Lengthy,0,3,3,H \ M,89,91,65,80,49,87,"195cm | 6'5""  Unique (94kg)",6365,461,2153
Toni Kroos,88,CM,Normal  Controlled,10K,3,5,M \ M,53,81,90,81,71,68,"183cm | 6'0""  Average (76kg)",432,444,2184
Marquinhos,88,CB,Normal  Controlled,0,3,3,M \ H,79,56,75,74,89,80,"183cm | 6'0""  Average (75kg)",974,453,2121
Bernardo Silva,88,CAM  CM,Rare  Explosive,9K,4,3,H \ H,77,78,84,92,61,68,"173cm | 5'8""  Lean (64kg)",1047,460,2221
Rúben Dias,88,CB,Rare  Lengthy,9.8K,2,4,M \ H,63,39,66,68,88,88,"187cm | 6'2""  High & Average (82kg)",907,412,1928
João Cancelo,88,"LB  RB,LWB",Rare  Controlled,20K,4,4,H \ M,85,73,85,85,81,73,"182cm | 6'0""  Unique (74kg)",1744,482,2290
ter Stegen,88,GK,Rare  Controlled,9.3K,1,4,M \ M,86,85,87,90,47,85,"187cm | 6'2""  Unique (85kg)",790,480,1080
Luka Modric,88,CM,Rare  Explosive,18K,4,4,M \ M,73,76,89,88,72,66,"172cm | 5'8""  Lean (66kg)",855,464,2297
Keylor Navas,88,GK,Normal  Controlled,33K,1,3,M \ M,89,84,75,89,54,87,"185cm | 6'1""  High & Average (80kg)",232,478,1071
Gianluigi Donnarumma,88,GK,Rare  Controlled,0,1,3,M \ M,90,83,79,89,52,85,"196cm | 6'5""  Unique (90kg)",621,478,1014
Jay-Jay Okocha,88,"CAM  RM,ST",Hero  Explosive,29.75K,5,4,M \ L,87,83,83,93,40,60,"173cm | 5'8""  Average (70kg)",1855,446,2174
Antonio Di Natale,88,"ST  CF,LW",Hero  Explosive,23.5K,4,4,H \ L,90,91,85,90,46,70,"170cm | 5'7""  Short & Lean- (69kg)",3149,472,2289
Mario Gomez,88,ST  CF,Hero  Lengthy,20K,3,4,H \ M,83,90,73,82,43,83,"189cm | 6'2""  High & Average (84kg)",619,454,2157
Marcos Cafú,88,RB  RWB,Icon  Controlled,130K,4,3,H \ M,89,55,82,85,86,83,"176cm | 5'9""  Average (74kg)",582,480,2267
Diego Milito,88,ST  CF,Hero  Controlled,27.75K,3,4,H \ L,83,89,75,84,43,80,"183cm | 6'0""  Average (78kg)",527,454,2190
Ricardo Carvalho,88,CB,Hero  Controlled,18.25K,2,3,L \ H,77,56,71,73,91,82,"183cm | 6'0""  Average (79kg)",606,450,2127
Rafael Márquez,88,CB  CDM,Hero  Lengthy,32.5K,3,3,M \ H,74,65,75,74,90,88,"184cm | 6'0""  Average (75kg)",735,466,2232
Javier Mascherano,88,CB  CDM,Hero  Controlled,23K,3,3,L \ H,76,55,76,75,89,86,"174cm | 5'9""  Short & Lean- (73kg)",830,457,2188
Diego Forlán,88,"ST  CF,LW",Hero  Controlled,26K,4,4,H \ H,86,90,79,85,55,76,"180cm | 5'11""  Average (75kg)",1609,471,2273
Ángel Di María,88,RW  RM,OTW SBC  Explosive,32.3K,5,2,H \ M,85,85,88,91,52,74,"180cm | 5'11""  Unique (69kg)",-1024,475,2321
Gabriel Jesus,88,"ST  CF,RW",OTW  Explosive,30.5K,4,3,H \ H,89,87,82,91,46,82,"175cm | 5'9""  Unique (73kg)",1342,477,2289
Raheem Sterling,88,"LW  LM,RW",OTW SBC  Explosive,139.15K,4,3,H \ M,92,83,82,88,47,70,"170cm | 5'7""  Unique (69kg)",4354,462,2195
Niklas Süle,88,CB  RB,UCL LIVE  Lengthy,27.5K,3,3,M \ M,76,51,70,64,89,86,"195cm | 6'5""  High & Stocky (99kg)",1156,436,1976
Martin Ødegaard,88,CAM  CM,Europa League  Explosive,25K,5,2,H \ M,84,82,90,88,62,67,"178cm | 5'10""  Lean (68kg)",1332,473,2269
Federico Valverde,88,CM,Champions League  Controlled,31.5K,3,4,H \ H,91,79,85,84,84,85,"182cm | 6'0""  Unique (78kg)",986,508,2375
Gerard Moreno,88,ST  CF,Conference League  Controlled,20K,3,4,H \ M,84,89,82,87,49,77,"180cm | 5'11""  Average (77kg)",907,468,2251
Edin Džeko,88,ST  CF,Rulebreakers  Lengthy,30K,3,5,H \ M,89,88,68,83,48,82,"193cm | 6'4""  High & Average+ (80kg)",2658,458,2129
David Alaba,88,CB,Rulebreakers  Controlled,0,3,4,M \ M,81,66,85,83,91,81,"180cm | 5'11""  Average (78kg)",-790,487,2360
David Alaba,88,CB,Rulebreakers  Controlled,0,3,4,M \ M,81,66,85,83,87,87,"180cm | 5'11""  Average (78kg)",2921,489,2367
Kai Havertz,88,"CAM  CF,ST",Rulebreakers  Controlled,25K,4,4,M \ M,88,86,77,89,49,84,"189cm | 6'2""  Unique (82kg)",2089,473,2243
Theo Hernández,88,"LW  LM,RW,ST",Out Of Position  Controlled,20K,3,4,H \ M,95,82,81,85,65,85,"184cm | 6'0""  Unique (81kg)",56,493,2304
Reece James,88,"RW  RM,ST",Out Of Position  Controlled,30K,4,3,H \ M,88,85,86,86,58,85,"178cm | 5'10""  Stocky (87kg)",1106,488,2323
Gonzalo Higuaín,88,ST  CF,Premium SBC  Lengthy,58.15K,4,4,H \ L,87,89,80,85,34,82,"186cm | 6'1""  Unique (89kg)",5087,457,2196
Kevin Trapp,88,GK,SIF  Controlled,22.5K,1,4,M \ M,87,86,82,89,48,87,"189cm | 6'2""  High & Average (84kg)",263,479,903
Romelu Lukaku,88,ST  CF,World Cup PTG  Lengthy,23.5K,3,4,H \ L,87,88,78,83,40,86,"191cm | 6'3""  Unique (94kg)",787,462,2171
Carvajal,88,RB  RWB,World Cup PTG  Controlled,29.75K,3,3,H \ M,89,58,84,84,83,84,"173cm | 5'8""  Unique (73kg)",1348,482,2267
Arkadiusz Milik,88,ST  CF,World Cup PTG  Lengthy,0,3,3,M \ M,88,88,77,84,42,82,"186cm | 6'1""  High & Average (80kg)",662,461,2207
Filip Kostic,88,"LM  LWB,LW",World Cup Star SBC  Controlled,0,3,3,H \ H,90,83,87,86,75,85,"184cm | 6'0""  Average (84kg)",391,506,2402
Mason Mount,88,CAM  RW,World Cup Star SBC  Controlled,6.95K,3,4,H \ H,85,87,89,86,60,77,"180cm | 5'11""  Lean (74kg)",269,484,2316
Eden Hazard,88,LW  LM,World Cup Star SBC  Controlled,12.5K,4,4,H \ M,88,84,86,90,40,75,"175cm | 5'9""  Unique (74kg)",553,463,2240
Keylor Navas,88,GK,World Cup Player  Controlled,0,1,3,M \ M,89,84,75,89,54,87,"185cm | 6'1""  High & Average (80kg)",-1,478,1071
ter Stegen,88,GK,World Cup Player  Controlled,0,1,4,M \ M,86,85,87,90,47,85,"187cm | 6'2""  Unique (85kg)",8,480,1080
João Cancelo,88,"LB  RB,LWB",World Cup Player  Controlled,0,4,4,H \ M,85,73,85,85,81,73,"182cm | 6'0""  Unique (74kg)",45,482,2290
Rúben Dias,88,CB,World Cup Player  Lengthy,0,2,4,M \ H,63,39,66,68,88,88,"187cm | 6'2""  High & Average (82kg)",15,412,1928
Bernardo Silva,88,CAM  CM,World Cup Player  Explosive,0,4,3,H \ H,77,78,84,92,61,68,"173cm | 5'8""  Lean (64kg)",9,460,2221
Luka Modric,88,CM,World Cup Player  Explosive,0,4,4,M \ M,73,76,89,88,72,66,"172cm | 5'8""  Lean (66kg)",65,464,2297
Marquinhos,88,CB,World Cup Player  Controlled,0,3,3,M \ H,79,56,75,74,89,80,"183cm | 6'0""  Average (75kg)",17,453,2121
Jorge Campos,88,GK,World Cup Hero  Explosive,0,3,4,M \ M,95,85,82,91,86,82,"170cm | 5'7""  Short & Lean (65kg)",-34,521,1990
Freddie Ljungberg,88,"LM  RM,LW",World Cup Hero  Controlled,28.5K,4,4,M \ M,90,85,84,88,47,80,"175cm | 5'9""  Lean (73kg)",2171,474,2235
Robbie Keane,88,ST  CF,World Cup Hero  Explosive,1.16M,4,5,H \ M,90,91,78,91,47,79,"175cm | 5'9""  Average (73kg)",81,476,2269
Joe Cole,88,"LM  RM,CAM,LW",World Cup Hero  Explosive,0,4,4,H \ M,90,86,87,91,52,72,"176cm | 5'9""  Short & Lean- (73kg)",1271,478,2280
Tim Cahill,88,"ST  CM,CAM,CF",World Cup Hero  Controlled,0,3,4,H \ M,87,88,79,85,65,90,"178cm | 5'10""  Average (76kg)",656,494,2375
Christian Pulisic,88,"LW  LM,RW",World Cup PTG  Explosive,24K,4,4,M \ M,93,82,83,92,43,65,"177cm | 5'10""  Lean (69kg)",1064,458,2203
Sofiane Boufal,88,"CF  LM,ST",World Cup PTG  Explosive,28K,4,5,M \ L,90,84,87,95,41,70,"175cm | 5'9""  Lean (67kg)",2949,467,2220
Georginio Wijnaldum,88,CM  CDM,Road to World Cup  Controlled,29K,3,4,H \ H,78,80,85,88,85,86,"175cm | 5'9""  Unique (74kg)",2203,502,2458
Gianluca Zambrotta,88,"RB  RWB,LB",World Cup ICON  Controlled,0,4,5,H \ M,89,71,83,83,87,86,"181cm | 5'11""  Average (76kg)",746,499,2373
Sergio Busquets,88,CDM,Road to World Cup  Controlled,0,3,3,M \ M,77,80,86,87,88,83,"189cm | 6'2""  High & Average+ (76kg)",818,501,2385
Steven Bergwijn,88,"ST  CF,RW,LW",World Cup Showdown S  Controlled,53K,4,3,H \ M,94,87,84,91,50,80,"178cm | 5'10""  Stocky (78kg)",1813,486,2300
Luis Hernández,88,ST  CF,World Cup ICON  Explosive,0,4,4,H \ M,92,88,73,88,48,69,"175cm | 5'9""  Average (69kg)",580,458,2237
Marcus Rashford,88,"LW  LM,ST",World Cup Stories  Controlled,140K,5,4,M \ L,92,87,82,86,50,81,"186cm | 6'1""  Unique (70kg)",847,478,2293
Alves da Silva,88,"RB  RWB,RM",World Cup Stories  Explosive,0,4,3,H \ M,90,78,89,86,85,82,"172cm | 5'8""  Average (70kg)",960,510,2480
Cavani,88,ST  CF,World Cup Stories  Controlled,30K,3,4,H \ H,87,90,75,88,58,83,"185cm | 6'1""  Unique (77kg)",391,481,2339
Leroy Sané,88,"CAM  LM,RW,LW",World Cup Stories  Controlled,30K,4,3,M \ M,92,87,85,89,42,72,"183cm | 6'0""  Unique (80kg)",684,467,2267
Richarlison,88,"ST  CF,LW",World Cup Stories  Controlled,0,4,5,H \ M,89,87,80,88,61,86,"181cm | 5'11""  Average (71kg)",660,491,2353
Hakim Ziyech,88,"CAM  RM,RW",World Cup Showdown  Controlled,60.55K,5,2,H \ H,86,85,91,87,55,70,"181cm | 5'11""  Unique (65kg)",32,474,2265
Marcos Acuña,88,"LB  LWB,LM",World Cup Showdown S  Controlled,64.45K,3,3,H \ H,85,80,86,90,83,86,"172cm | 5'8""  Stocky (69kg)",365,510,2445
Marcus Thuram,88,"ST  LM,CF",World Cup Showdown S  Controlled,72.25K,4,3,M \ M,92,89,82,88,58,87,"192cm | 6'4""  High & Stocky (90kg)",547,496,2312
Davor Šuker,88,ST  CF,World Cup ICON  Controlled,42.5K,4,4,H \ M,86,91,81,90,44,76,"183cm | 6'0""  Lean (78kg)",688,468,2285
Éder Militão,88,CB,World Cup Phenoms  Controlled,54K,2,3,M \ M,87,52,75,76,88,86,"186cm | 6'1""  Lean (78kg)",642,464,2152
Bukayo Saka,88,"RM  LM,RW",World Cup Phenoms  Explosive,27K,4,4,H \ M,91,83,83,88,68,75,"178cm | 5'10""  Lean (65kg)",1565,488,2311
Youri Tielemans,88,CDM  CM,World Cup Phenoms  Controlled,0,4,5,M \ M,73,83,89,84,82,78,"176cm | 5'9""  Average (72kg)",-370,489,2389
Enzo Fernández,88,CM  CDM,World Cup Showdown S  Controlled,53.75K,3,4,H \ H,85,82,87,88,83,89,"180cm | 5'11""  Average (77kg)",3578,514,2473
Youssouf Fofana,88,CDM  CM,World Cup Showdown S  Controlled,70.6K,3,3,M \ H,81,78,84,86,86,88,"176cm | 5'9""  Average (69kg)",153,503,2385
Dušan Vlahovic,88,ST  CF,World Cup Phenoms SB  Controlled,76.4K,4,4,H \ M,86,90,73,88,32,85,"190cm | 6'3""  High & Average (75kg)",597,454,2159
Mislav Oršic,88,"LW  LM,ST",World Cup Showdown S  Explosive,21.65K,4,4,H \ H,95,88,81,85,64,71,"179cm | 5'10""  Lean (69kg)",1647,484,2348
Thiago Silva,88,CB,World Cup TOTT  Lengthy,119K,2,3,M \ H,77,56,77,76,90,83,"183cm | 6'0""  Average (79kg)",834,459,2210
Diogo Dalot,88,RB  RWB,World Cup TOTT  Controlled,98.5K,3,4,H \ H,89,73,85,88,85,87,"184cm | 6'0""  Average (76kg)",1818,507,2397
Cody Gakpo,88,"ST  LM,CF",World Cup TOTT  Controlled,78K,4,4,H \ M,91,88,84,90,46,82,"189cm | 6'2""  High & Average+ (76kg)",1662,481,2264
Nick Pope,88,GK,ShowDown SBC  Lengthy,28.45K,1,3,M \ M,88,89,83,90,57,88,"199cm | 6'6""  High & Average+ (76kg)",3487,495,965
Fikayo Tomori,88,CB,Winter Wildcards  Controlled,23K,2,4,M \ H,88,45,65,71,88,85,"185cm | 6'1""  High & Average (79kg)",1554,442,2022
Virgil van Dijk,88,CB,WC History Makers  Lengthy,0,2,3,M \ H,79,58,68,69,89,84,"193cm | 6'4""  Unique (92kg)",-302,447,2084
Kylian Mbappé,88,"ST  CF,LW",WC History Makers  Controlled,0,5,4,H \ L,94,86,76,89,33,72,"182cm | 6'0""  Unique (73kg)",-328,450,2128
Vanja Milinkovic-Savic,88,GK,Winter Wildcards  Lengthy,30K,1,3,M \ M,88,86,85,87,99,86,"202cm | 6'8""  High & Average (90kg)",939,531,1138
Raphaël Varane,88,CB,Winter Wildcards  Lengthy,26K,2,4,M \ H,85,53,68,72,89,85,"191cm | 6'3""  Unique (81kg)",1267,452,2081
Martin Ødegaard,88,CM  CAM,SIF  Explosive,17.5K,5,2,H \ M,85,82,90,88,62,67,"178cm | 5'10""  Lean (68kg)",719,474,2270
Matteo Politano,88,"ST  RM,CF,RW",Winter Wildcards SBC  Explosive,133.6K,4,4,H \ L,92,86,85,91,49,62,"171cm | 5'7""  Average (67kg)",6967,465,2244
Jamie Vardy,88,ST  CF,FUT Centurions  Controlled,23K,4,4,H \ M,90,90,78,83,55,76,"179cm | 5'10""  Unique (74kg)",815,472,2306
Jordi Alba Ramos,88,LB  LWB,FUT Centurions  Explosive,25K,3,3,H \ H,90,73,85,85,82,80,"170cm | 5'7""  Unique (68kg)",1016,495,2358
Martin Terrier,88,"LW  LM,ST",FUT Centurions SBC  Controlled,68.25K,4,4,H \ M,93,88,84,86,43,80,"184cm | 6'0""  Lean (73kg)",-489,474,2246
Parejo,88,CM,IF  Controlled,17.5K,3,4,M \ M,54,85,92,83,73,71,"182cm | 6'0""  Average (74kg)",-124,458,2269
Fred,88,CM  CDM,FUT Centurions  Explosive,30K,4,4,H \ H,85,76,86,90,83,80,"169cm | 5'7""  Short & Lean (62kg)",1627,500,2449
Henrikh Mkhitaryan,88,CAM  CM,ShowDown SBC  Controlled,77.1K,4,5,H \ L,89,86,86,90,63,80,"177cm | 5'10""  Average (75kg)",1005,494,2379
Paulo Dybala,88,"ST  CAM,CF",IF  Explosive,20K,4,3,H \ L,83,87,87,92,42,64,"177cm | 5'10""  Unique (75kg)",494,455,2235
Thiago Silva,88,CB,IF  Controlled,30K,2,3,M \ H,53,56,75,74,89,80,"183cm | 6'0""  Average (79kg)",92,427,2123
Ilkay Gündogan,88,CM  CDM,Player Moments  Controlled,0,4,4,H \ M,78,84,88,88,78,78,"180cm | 5'11""  Average (80kg)",-801,494,2373
Edin Džeko,88,ST  CF,MOTM  Lengthy,0,3,5,M \ M,71,88,75,83,49,80,"193cm | 6'4""  High & Average+ (80kg)",-1012,446,2114
Ivan Rakitic,88,CF  CM,IF  Controlled,15.75K,4,4,M \ M,76,84,90,82,80,72,"184cm | 6'0""  Average (78kg)",444,484,2314
Matthijs de Ligt,88,LB  CB,SIF  Lengthy,17.5K,2,3,M \ H,80,62,65,73,88,90,"189cm | 6'2""  Unique (89kg)",494,458,2113
El Shaarawy,88,"CF  LM,LW",IF  Explosive,18K,5,3,M \ M,93,84,84,88,57,77,"178cm | 5'10""  Lean (73kg)",2045,483,2331
Riyad Mahrez,88,RM  RW,IF  Explosive,14K,5,4,M \ M,84,85,84,92,40,64,"179cm | 5'10""  Unique (67kg)",403,449,2168
Nicolás Otamendi,88,CB,TOTY Honourable Ment  Controlled,0,2,3,M \ H,80,63,70,69,90,87,"182cm | 6'0""  Average (78kg)",561,459,2162
Nabil Fekir,88,CAM,TOTY Honourable Ment  Controlled,24.25K,4,4,H \ M,87,87,88,88,41,85,"173cm | 5'8""  Stocky (75kg)",252,476,2272
Alphonso Davies,88,"LB  LWB,LM",TOTY Honourable Ment  Controlled,29.5K,4,4,H \ L,97,70,84,88,80,82,"185cm | 6'1""  Unique (77kg)",1190,501,2343
Borré,88,ST  CF,Player Moments SBC  Explosive,61.25K,3,4,H \ H,87,87,84,89,60,86,"174cm | 5'9""  Average (70kg)",-1364,493,2422
Coutinho,88,"CAM  CM,LW",Player Moments  Explosive,0,5,4,H \ M,80,85,86,91,56,65,"172cm | 5'8""  Average (68kg)",-2790,463,2279
Jorginho,88,CM  CDM,Flashback SBC  Controlled,149.2K,3,4,M \ H,83,76,92,88,84,84,"180cm | 5'11""  Lean (68kg)",3594,507,2440
Dani Olmo,88,CAM  CF,IF  Explosive,15K,5,4,M \ H,77,85,88,92,60,70,"179cm | 5'10""  Lean (72kg)",152,472,2293
Stephy Mavididi,88,"LM  ST,LW",IF  Controlled,17.25K,4,4,H \ M,95,87,81,88,40,80,"182cm | 6'0""  Average (71kg)",2055,471,2209
Seko Fofana,88,CM  CDM,TOTY Honourable Ment  Lengthy,171.7K,4,4,H \ H,84,78,82,86,84,91,"185cm | 6'1""  High & Average (74kg)",4920,505,2358
Lautaro Martínez,88,ST  CF,SIF  Controlled,26K,4,4,H \ M,85,87,75,88,50,86,"174cm | 5'9""  Unique (72kg)",78,471,2282
Jonas Hofmann,88,"CAM  RM,LM",TIF  Controlled,17K,3,4,H \ H,83,85,87,88,72,82,"176cm | 5'9""  Average (73kg)",175,497,2372
Alexander Sørloth,88,ST  CF,LaLiga POTM SBC  Lengthy,88.35K,3,4,H \ M,92,87,83,87,46,94,"194cm | 6'4""  High & Average (90kg)",2427,489,2295
Jesper Lindstrøm,88,"CAM  RW,ST,LW",FUT Future Stars  Controlled,0,4,4,H \ M,94,84,83,88,62,78,"182cm | 6'0""  Lean (66kg)",426,489,2303
Marc Guehi,88,CB,FUT Future Stars  Controlled,22K,2,4,M \ M,82,44,71,79,89,85,"182cm | 6'0""  Stocky (82kg)",933,450,2050
Mohammed Kudus,88,CAM  CM,FUT Future Stars  Controlled,18.25K,4,3,M \ M,93,81,84,88,75,85,"177cm | 5'10""  Average (70kg)",559,506,2364
Anthony Elanga,88,"RW  RM,LW",FUT Future Stars  Explosive,26K,4,3,H \ H,92,85,84,88,43,68,"178cm | 5'10""  Lean (75kg)",1076,460,2225
Vanderson de Oliveira Campos,88,"RB  RWB,RM,RW",FUT Future Stars SBC  Controlled,74.95K,3,3,M \ M,91,70,80,77,84,88,"180cm | 5'11""  Lean (74kg)",1877,490,2297
Vanderson de Oliveira Campos,88,"RW  RWB,RB,RM",FUT Future Stars SBC  Explosive,74.95K,4,4,H \ M,92,84,86,88,70,77,"180cm | 5'11""  Lean (74kg)",500,497,2371
Anthony Gordon,88,"LW  RM,LM,RW",FUT Future Stars  Controlled,0,4,5,H \ M,92,87,86,89,48,74,"183cm | 6'0""  Lean (74kg)",809,476,2269
Raphinha,88,RW  RM,IF  Explosive,0,4,4,H \ H,95,84,83,89,57,80,"176cm | 5'9""  Lean (68kg)",1299,488,2319
Tammy Abraham,88,ST  CF,SIF  Lengthy,16K,4,4,H \ M,90,88,73,86,42,86,"195cm | 6'5""  High & Average+ (86kg)",649,465,2155
Kingsley Coman,88,LM  LW,IF  Explosive,24K,5,3,M \ M,94,80,82,89,32,66,"179cm | 5'10""  Unique (75kg)",513,443,2117
Quinten Timber,88,"CB  LB,CDM,CM",FUT Future Stars SBC  Controlled,52.3K,3,4,H \ H,87,67,80,85,84,92,"179cm | 5'10""  Average (71kg)",1192,495,2324
Quinten Timber,88,"CDM  CM,CAM",FUT Future Stars SBC  Controlled,52.3K,4,4,H \ H,90,70,84,88,81,90,"179cm | 5'10""  Average (71kg)",2057,503,2364
Carlos Vela,88,"LW  CAM,ST",Player Moments SBC  Controlled,48.75K,4,3,H \ L,92,86,85,91,37,75,"177cm | 5'10""  Average (77kg)",318,466,2251
Victor Osimhen,88,ST  CF,POTM Serie A SBC  Controlled,75.7K,4,4,H \ M,95,88,73,84,47,86,"185cm | 6'1""  High & Average+ (78kg)",3785,473,2209
Nicolò Fagioli,88,"CM  CDM,CAM",FUT Future Stars  Explosive,18.25K,3,5,M \ M,86,77,88,90,80,76,"178cm | 5'10""  Average (72kg)",1216,497,2366
Jacob Ramsey,88,"CM  CDM,RM,CAM",FUT Future Stars  Controlled,0,3,4,H \ H,85,81,86,88,80,85,"180cm | 5'11""  Average (72kg)",48,505,2371
Fabio Carvalho,88,"CAM  RM,CM",FUT Future Stars  Explosive,30K,4,4,H \ M,89,83,82,90,60,73,"175cm | 5'9""  Lean (66kg)",965,477,2247
Illan Meslier,88,GK,FUT Future Stars  Controlled,28.75K,1,3,M \ M,90,89,84,92,50,85,"196cm | 6'5""  High & Average+ (74kg)",1236,490,931
Nuno Tavares,88,"LB  LWB,LM,LW",FUT Future Stars  Controlled,0,3,5,H \ M,92,70,80,88,80,85,"183cm | 6'0""  Lean (75kg)",-1766,495,2343
Chris Smalling,88,CB,Flashback SBC  Lengthy,118.8K,2,3,M \ H,84,54,65,68,87,89,"194cm | 6'4""  High & Average+ (81kg)",3933,447,2043
Stevan Jovetic,88,"ST  CAM,CF",Player Moments SBC  Controlled,70.2K,4,4,H \ L,90,88,83,90,41,78,"183cm | 6'0""  Average (79kg)",790,470,2290
Nicolò Rovella,88,CM  CDM,FUT Future Stars  Controlled,0,4,4,M \ M,83,82,85,84,90,82,"179cm | 5'10""  Lean (70kg)",2138,506,2447
Sébastien Haller,88,ST  CF,Player Moments SBC  Lengthy,70.8K,3,5,H \ M,84,88,79,84,58,99,"190cm | 6'3""  High & Average (82kg)",15784,492,2375
Mario Balotelli,88,ST  CF,Flashback SBC  Lengthy,91.65K,5,4,H \ L,90,88,80,85,38,91,"190cm | 6'3""  High & Average (94kg)",4053,472,2272
Giovanni Di Lorenzo,88,RB  RWB,IF  Controlled,16.5K,3,3,M \ M,90,73,80,83,84,86,"183cm | 6'0""  Average (83kg)",1647,496,2349
Vincenzo Grifo,88,"LM  CF,LW",SIF  Explosive,16.5K,4,3,M \ M,83,84,88,89,48,72,"180cm | 5'11""  Average (76kg)",104,464,2257
Rodri,88,CDM,IF  Lengthy,20.5K,3,4,M \ H,60,73,80,80,84,85,"191cm | 6'3""  High & Average (82kg)",74,462,2206
Dušan Vlahovic,88,ST  CF,SIF  Lengthy,16.25K,3,3,M \ M,85,89,72,83,32,84,"190cm | 6'3""  High & Average (75kg)",79,445,2081
Wissam Ben Yedder,88,ST  CF,SIF  Explosive,29.75K,4,5,H \ L,86,88,83,92,43,74,"170cm | 5'7""  Unique (68kg)",649,466,2278
Julian Brandt,88,"RM  CAM,CF,RW",Bundes POTM SBC  Controlled,34.5K,4,4,H \ M,77,85,88,91,54,73,"185cm | 6'1""  High & Average (83kg)",-390,468,2247
Lucas Moura,88,RW  RM,UCL Live  Explosive,18.5K,4,4,M \ M,94,85,80,91,56,76,"174cm | 5'9""  Unique (70kg)",867,482,2344
Ferrán Torres,88,"LW  LM,ST",UEL Live  Controlled,15K,4,4,H \ M,90,86,86,90,40,75,"184cm | 6'0""  Lean (77kg)",570,467,2249
Brais Méndez,88,"CAM  RM,RW",UEL Live  Controlled,0,4,3,M \ M,85,85,89,88,66,79,"187cm | 6'2""  High & Average+ (76kg)",-384,492,2354
Juan Miranda González,88,LB  LWB,UEL Live  Controlled,16.75K,3,3,M \ M,91,71,84,88,88,84,"185cm | 6'1""  High & Average+ (79kg)",1071,506,2372
Ciro Immobile,88,ST  CF,SIF  Controlled,27.75K,3,4,H \ M,87,89,71,83,41,79,"185cm | 6'1""  Unique (85kg)",94,450,2166
Bruno Fernandes,88,"RM  CM,RW",IF  Controlled,24K,4,3,H \ H,76,88,90,84,70,79,"179cm | 5'10""  Unique (69kg)",279,487,2399
João Cancelo,88,"LB  RB,LWB",Rare  Controlled,11.5K,4,4,H \ M,85,73,85,85,81,73,"182cm | 6'0""  Unique (74kg)",374,482,2290
Keylor Navas,88,GK,Rare  Controlled,10K,1,3,M \ M,89,84,75,89,54,87,"185cm | 6'1""  High & Average (80kg)",222,478,1071
Dani Ceballos,88,"CM  CDM,CAM",ShowDown SBC  Controlled,157.1K,4,4,H \ H,84,84,88,90,80,82,"179cm | 5'10""  Lean (68kg)",575,508,2409
Nahuel Molina,88,"RWB  RB,RM",ShowDown SBC  Controlled,114.8K,3,3,H \ H,92,76,82,86,85,85,"175cm | 5'9""  Lean (70kg)",955,506,2367
Thomas Müller,88,CAM  CF,IF  Controlled,16.5K,3,4,H \ H,70,86,84,82,57,72,"185cm | 6'1""  High & Average+ (76kg)",167,451,2213
